Number,Name,Level,School,City,Department
1,Les Basco-Béarnais,1ère,Lycée du Pays de Soule,Cheraute,64
2,Les Kasseurs FloTeur’s,1ère,Lycée du Pays de Soule,Cheraute,64
3,Tximistak,1ère,Lycée du Pays de Soule,Cheraute,64
4,Electrocubes,6ème & 4ème,Collège Romée de Villeneuve,Villeneuve Loubet,6
5,Bon Voyage,6ème,Collège Louis Nucéra,Nice,6
6,Tram’Ouais,3ème,Collège N.D. de la Tramontane,Antibes Juans les Pins,6
7,Grotex,2nde,Lycée St Joseph,Hasparren,64
8,Jacky Tuning,2nde,Lycée St Joseph,Hasparren,64
9,Pogoeta,2nde,Lycée St Joseph,Hasparren,64
10,Dream Team,Tale,Lycée International de Valbonne,Valbonne Sophia Antipolis,6
11,Les P-Law,2nde,Lycée International de Valbonne,Valbonne Sophia Antipolis,6
12,Vinidici,2nde,Lycée International de Valbonne,Valbonne Sophia Antipolis,6
13,Wall-E,2nde,Lycée International de Valbonne,Valbonne Sophia Antipolis,6
14,R2C4,2nde,Lycée International de Valbonne,Valbonne Sophia Antipolis,6
15,Les Anonymes,2nde,Lycée International de Valbonne,Valbonne Sophia Antipolis,6
16,Da Squad,2nde,Lycée International de Valbonne,Valbonne Sophia Antipolis,6
17,Trinity,2nde,Lycée International de Valbonne,Valbonne Sophia Antipolis,6
18,Lego’s Worker,3èmes,Collège International de Valbonne,Valbonne Sophia Antipolis,6
19,Haizz,4ème,Collège International de Valbonne,Valbonne Sophia Antipolis,6
20,Hodobot,4ème,Collège International de Valbonne,Valbonne Sophia Antipolis,6
21,Technobot,CM2 & 6ème,équipe open,Valbonne Sophia Antipolis,6
