,,,12:00,12:10,12:20,12:30,12:40,12:50,13:00,13:10,13:20,13:30,13:40,13:50,14:00,14:10,14:20,14:30,14:40,14:50,15:00,15:10,15:20,15:30,15:40,15:50,16:00,16:10,16:20,16:30,16:40,16:50,17:00,17:10,17:20,17:30,17:40,17:50,18:00
1,Cheraute,OK,,,,,,,,,,,,,M1,,,,,,M2,,,,M3,,EXP,EXP,EXP,,,,,,,,,,
2,Cheraute,OK,,,,,,,,,,,,,M1,,,,,,M2,,,,M3,,EXP,EXP,EXP,,,,,,,,,,
3,Cheraute,OK,,,,,,,,,,,,,M1,,,,,,M2,,,,M3,,EXP,EXP,EXP,,,,,,,,,,
4,Villeuneuve,OK,,,,,,,M1,,,,,M2,,,,,,M3,,,,EXP,EXP,EXP,,,,,,,,,,,,,
5,Nucéra,OK,,,,,,,M1,,,,,M2,,,,,,M3,,,,EXP,EXP,EXP,,,,,,,,,,,,,
6,La Tram,OK,,,,,,,M1,,,,,M2,,,,,,M3,,,,EXP,EXP,EXP,,,,,,,,,,,,,
7,Hasparren,OK,,,,,,,,,,,,,,M1,,,,EXP,EXP,EXP,,M2,,,,M3,,,,,,,,,,,
8,Hasparren,OK,,,,,,,,,,,,,,M1,,,,EXP,EXP,EXP,,M2,,,,M3,,,,,,,,,,,
9,Hasparren,OK,,,,,,,,,,,,,,M1,,,,EXP,EXP,EXP,,M2,,,,M3,,,,,,,,,,,
10,LIV,OK,,,,,,M1,,,,,M2,,,,EXP,EXP,EXP,,,,M3,,,,,,,,,,,,,,,,
11,LIV,OK,,,,,,M1,,,,,M2,,,,EXP,EXP,EXP,,,,M3,,,,,,,,,,,,,,,,
12,LIV,OK,,,,,,M1,,,,,M2,,,,EXP,EXP,EXP,,,,M3,,,,,,,,,,,,,,,,
13,LIV,OK,,,M1,,EXP,EXP,EXP,,M2,,,,,,,M3,,,,,,,,,,,,,,,,,,,,,
14,LIV,OK,,,M1,,EXP,EXP,EXP,,M2,,,,,,,M3,,,,,,,,,,,,,,,,,,,,,
15,LIV,OK,,,M1,,EXP,EXP,EXP,,M2,,,,,,,M3,,,,,,,,,,,,,,,,,,,,,
16,LIV,OK,,,,M1,,,,EXP,EXP,EXP,,,,,M2,,,,,M3,,,,,,,,,,,,,,,,,
17,LIV,OK,,,,M1,,,,EXP,EXP,EXP,,,,,M2,,,,,M3,,,,,,,,,,,,,,,,,
18,CIV,OK,,,,M1,,,,EXP,EXP,EXP,,,,,M2,,,,,M3,,,,,,,,,,,,,,,,,
19,CIV,OK,,,,,M1,,,,,M2,,EXP,EXP,EXP,,,M3,,,,,,,,,,,,,,,,,,,,
20,CIV,OK,,,,,M1,,,,,M2,,EXP,EXP,EXP,,,M3,,,,,,,,,,,,,,,,,,,,
21,open,OK,,,,,M1,,,,,M2,,EXP,EXP,EXP,,,M3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contrôle,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Analyse des posters – première consolidation,,,,,,,,,,,,,Goûter des enfants,,,Remise des prix et coupes,,,
