Number,Name,Level,School,City,Department
1,Blackbird,2nde,Lycée Professionnel Jacques Dolle,Antibes,06
2,Les Corsaires,3ème,Collège Louis Nucéra,Nice,06
3,Octobot,2nde,Lycée St Joseph,Hasparren,64
4,Eusk'arraina,2nde,Lycée St Joseph,Hasparren,64
5,Robot Goss,2nde,Lycée St Joseph,Hasparren,64
6,Xixtorms,2nde,Lycée St Joseph,Hasparren,64
7,AquaBot,2nde,Lycée St Joseph,Hasparren,64
8,Les Hipobotram,3ème,Collège N.D. La Tramontane,Antibes Les Pins,06
9,Le Nautilus,2nde,Lycée International de Valbonne,Valbonne Sophia Antipolis,06
10,The Homies,2nde,Lycée International de Valbonne,Valbonne Sophia Antipolis,06
11,Mindstormer,2nde,Lycée International de Valbonne,Valbonne Sophia Antipolis,06
12,Young Robotics,2nde,Lycée International de Valbonne,Valbonne Sophia Antipolis,06
13,Popopouelou,3eme,Collège International de Valbonne,Valbonne Sophia Antipolis,06
14,International Technoteam,6eme,Collège International de Valbonne,Valbonne Sophia Antipolis,06
15,Les Keh a Mojito,2nde,Lycée International de Valbonne,Valbonne Sophia Antipolis,06
16,Gang Dog,2nde,Lycée International de Valbonne,Valbonne Sophia Antipolis,06
17,Les Anchois,2nde,Lycée International de Valbonne,Valbonne Sophia Antipolis,06
18,Rocko,2nde,Lycée International de Valbonne,Valbonne Sophia Antipolis,06
19,Les deux roues,Tle,Lycée Amiral de Grasse,Grasse,06
20,Sydney Bechet,6ème,Collège Sydney Bechet,Antibes Les Pins,06
21,Emibot,3ème,Collège Emile Roux,Le Cannet,06
